date,type,count,mean,std,min,25%,50%,75%,max
2010-10-14,monitor,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-15,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-10-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-19,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-10-21,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-23,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-10-24,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-26,access point,2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
2010-10-27,access point,3.0,4.666666666666667,0.5773502691896258,4.0,4.5,5.0,5.0,5.0
2010-10-28,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-10-29,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-30,access point,2.0,3.0,2.8284271247461903,1.0,2.0,3.0,4.0,5.0
2010-10-31,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-11-02,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-02,monitor,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-03,access point,4.0,4.0,1.4142135623730951,2.0,3.5,4.5,5.0,5.0
2010-11-03,keyboard,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2010-11-04,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-11-05,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-05,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-07,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-11-07,keyboard,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-11-08,access point,4.0,3.75,1.5,2.0,2.75,4.0,5.0,5.0
2010-11-08,keyboard,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-11-11,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-12,monitor,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-13,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-14,monitor,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-16,access point,2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
2010-11-16,monitor,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-11-17,access point,4.0,4.0,2.0,1.0,4.0,5.0,5.0,5.0
2010-11-17,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-19,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-11-19,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-21,access point,3.0,4.0,1.0,3.0,3.5,4.0,4.5,5.0
2010-11-21,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-11-22,access point,4.0,4.25,1.5,2.0,4.25,5.0,5.0,5.0
2010-11-22,keyboard,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-11-23,access point,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
